spot_id,CAF,Endo,Macro,Malignant,NK,T
8x10,0.12197311,0.20572884,0.0005367494,0.017209807,0.24033958,0.41421184
8x11,0.10550238,0.29496354,0.0015713094,0.012186758,0.30437806,0.281398
8x12,0.009322934,0.45702285,0.0069920905,0.026130563,0.03038806,0.47014362
9x3,0.036652412,0.0019071118,0.26226544,0.32981795,0.012579294,0.35677773
9x4,0.018956821,0.003479672,0.36641338,0.26672068,0.0063214684,0.33810794
9x5,0.070974186,0.0014605756,0.25923315,0.42701197,0.01208806,0.22923201
9x6,0.09103556,0.0019178194,0.29745045,0.299301,0.013775017,0.2965201
9x7,0.10560975,0.0027102083,0.15101731,0.5091862,0.006368914,0.22510758
9x8,0.034930028,0.0015873419,0.20415376,0.4357436,0.0175133,0.30607194
9x9,0.039425995,0.5054822,0.0038059596,0.06635059,0.07510715,0.30982813
9x10,0.097062,0.2733988,0.00027657635,0.042762127,0.05502226,0.5314783
9x11,0.06253214,0.38396114,0.00012381715,0.090459794,0.18225592,0.28066716
9x12,0.10415326,0.4308977,0.00059010077,0.04513203,0.054916773,0.3643101
10x3,0.021165725,0.003607844,0.35138732,0.2614261,0.0045270952,0.35788596
10x4,0.047132194,0.0039184396,0.29277053,0.3438599,0.003998101,0.30832076
10x5,0.05526135,0.0011307114,0.20324041,0.42519826,0.01609041,0.29907888
10x6,0.03192168,0.0018241756,0.28027686,0.33965844,0.007974395,0.33834437
10x7,0.03539604,0.0051244665,0.19059372,0.44523728,0.013348383,0.31030008
10x8,0.041526962,0.0006299812,0.30162752,0.26054686,0.010778097,0.38489056
10x9,0.020494357,0.61201453,0.014090449,0.044433735,0.15057796,0.15838903
10x10,0.024307147,0.2083479,0.00035120902,0.017368035,0.4992803,0.2503454
10x11,0.11084294,0.38086414,0.00032864526,0.061236873,0.03997026,0.40675712
10x12,0.025710387,0.45826116,0.0005122602,0.04879299,0.25299254,0.21373066
10x13,0.014973669,0.44233093,0.00489218,0.03262064,0.08994445,0.4152381
11x2,0.046368055,0.0007112582,0.2438096,0.33930868,0.012883481,0.3569189
11x3,0.03775091,0.0033720855,0.2424311,0.40186366,0.006132874,0.30844933
11x4,0.047932513,0.0010189115,0.23532724,0.41161034,0.015155263,0.28895578
11x5,0.051456664,0.01385011,0.18257505,0.46598014,0.0012361959,0.28490183
11x6,0.021749238,0.00085586734,0.16509512,0.4556791,0.026362596,0.33025816
11x7,0.035570737,0.0007353924,0.19316916,0.39140165,0.027254095,0.351869
11x8,0.016668359,0.003312456,0.24061114,0.39573437,0.020774852,0.3228988
11x9,0.01563763,0.4872397,0.002212199,0.0673493,0.05714388,0.37041733
11x10,0.06436749,0.33485293,0.00044279356,0.03315743,0.12303279,0.44414654
11x11,0.09686925,0.16792564,0.00013215456,0.06949045,0.15504034,0.51054215
11x12,0.07853531,0.2743451,0.0001723855,0.06830297,0.075365916,0.5032784
11x13,0.015773516,0.46442443,0.0006644007,0.088366196,0.086972035,0.3437994
12x2,0.025618162,0.005020147,0.3659665,0.24353981,0.0022288435,0.35762647
